video_id,publishDates,authorName,comments,likeCount
Beld090NIoo,2023-07-08T03:13:11Z,Jodiah,Best Setlist I’ve heard in a long time! Is for sale or available to stream on SoundCloud?  <br>I absolutely love this!,0
Beld090NIoo,2023-07-07T18:05:00Z,Xavier Corderroure,fuck i&#39;m in love in so many ways,0
Beld090NIoo,2023-07-07T14:11:14Z,aubelop,thats really great !!!!,0
Beld090NIoo,2023-07-07T11:32:43Z,Scott Cattell,Great mix thank you,0
Beld090NIoo,2023-07-07T00:06:16Z,William Jones,Fire 🔥 in da house!! Dem a murdera!!!!,0
Beld090NIoo,2023-07-06T22:55:51Z,Federico Medun,Esto es espectacular! muy muy bueno,0
Beld090NIoo,2023-07-06T06:12:37Z,Call The Priest,почему только сейчас мне попались ваши великолепные сэты.....спасибо),0
Beld090NIoo,2023-07-05T08:55:01Z,Zions6886,indian vibes,0
Beld090NIoo,2023-07-05T08:33:27Z,Alex T,Loving the plants and the set up,0
Beld090NIoo,2023-07-05T04:19:02Z,Joan Sala Serra,good music and very bad dijing skills (shame),0
Beld090NIoo,2023-07-04T22:27:59Z,David Justice,what an incredible set...thank you for introducing me to the dub specialist!!,0
Beld090NIoo,2023-07-04T20:44:27Z,NiciNice,Yeeeees ❤,0
Beld090NIoo,2023-07-04T19:19:04Z,Evelin Ibarra,🎉 super!,0
Beld090NIoo,2023-07-04T18:36:37Z,Joshua Weaver,Anyone have any recommendations of other dj’s or music similar to this? I am in love with this mix such  a good vibe! Thanks ahead of time appreciate you 🙃❤️🎶🍄,0
Beld090NIoo,2023-07-04T15:53:23Z,Emilio Maruri,The last five minutes got me hypedfruitlooped! LOVED THIS SET MAAAN!,0
Beld090NIoo,2023-07-04T15:43:06Z,Jessica Eleanor,This perked me up so much today at work!,0
Beld090NIoo,2023-07-04T07:48:02Z,GROOVE TECH SETS,"<a href=""https://www.youtube.com/watch?v=Beld090NIoo&amp;t=28m30s"">28:30</a> OMFG THIS TRACK",0
Beld090NIoo,2023-07-04T07:47:57Z,Seppia,what&#39;s that rotary mixer? can&#39;t quite read the name without my glasses..,0
Beld090NIoo,2023-07-03T02:37:23Z,Coffee House,Thank you. This was perfect for my night of relaxation.,0
Beld090NIoo,2023-07-03T00:25:11Z,Ralph Peter Bilbao,I love the indian beats.,0
Beld090NIoo,2023-07-02T21:59:30Z,Gregory Stiller,Been a while since I have mixed..but what kind of board is she using? Anyone? I see a delay but no x cross fader.,0
Beld090NIoo,2023-07-02T20:51:35Z,Betty Bet,very unique music! great unexpected mix &lt;3,0
Beld090NIoo,2023-07-02T20:49:45Z,Tudor Miller,Watching from London UK.❤,0
Beld090NIoo,2023-07-01T08:44:40Z,Peter,Easy Dread! 🙏,0
Beld090NIoo,2023-07-01T00:13:28Z,Abraham U,"This is some good stuff. Thank you.  We were given some old vinyls and. We d like to put something together. Wehere do we start. What kind of mixers unguys recomemd, thank you.<br>We have a lil back ground in guitar playing loopers, delays etc but never have use mixers<br>, some guidance will be appreciated. Thank you.",0
Beld090NIoo,2023-06-30T16:51:41Z,Roy,Oh yes this is is good. Really good.,0
Beld090NIoo,2023-06-27T11:52:42Z,Sasa Sepi,I love it! Is there Renaud Garcia-Fons in second or third track? Cool,0
Beld090NIoo,2023-06-27T07:11:23Z,h e l l o w o r l d,👍,0
Beld090NIoo,2023-06-27T02:30:33Z,Glenn Nicholls,I remember buying the Armagideon album from the band themselves over 30 years ago.  Great to see it in this fantastic set.,1
Beld090NIoo,2023-06-26T12:04:02Z,Music Meets Mind,Beautiful journey💛,0
Beld090NIoo,2023-06-26T00:53:19Z,Yahira Lobos,"Supa groovy, really...this is sweeeet! Love it!",0
Beld090NIoo,2023-06-26T00:52:17Z,Yahira Lobos,"Love the melodies of middle eastern, beautiful.",0
Beld090NIoo,2023-06-25T12:52:44Z,RAW Footage,I don&#39;t like it when they touch the knobs like a safecracker for no reason.,0
Beld090NIoo,2023-06-24T11:10:40Z,Konstantynww,thanks,0
Beld090NIoo,2023-06-23T23:15:02Z,Banana George,F     U    N    K    Y   !!,0
Beld090NIoo,2023-06-23T16:03:44Z,Letícia Freitas,de novo!,0
Beld090NIoo,2023-06-22T06:36:12Z,Eric Jeker,"Percussive Dub, Spiritual Jazz &amp; Psychedelic Grooves is really not what floats my boat but I like the setup and production. Cheers. 🙂",0
Beld090NIoo,2023-06-22T01:18:37Z,DJ Barry 615,Nice rotary mixer!,0
Beld090NIoo,2023-06-21T15:36:23Z,VEGANISTA. 🌱,"YUSSSSS!!!    Good vibes, good sounds, fabulous plants……….EXCEPT all those damn commercials fcking it all up. <br><br>I subscribed then unsubscribed half way through this set.",0
Beld090NIoo,2023-06-19T13:48:25Z,Yani Erpen,"<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",0
Beld090NIoo,2023-06-19T04:02:46Z,bubba luv,plants look healthy,0
Beld090NIoo,2023-06-19T02:32:25Z,Rohan Poddar,"Dub has a certain feeling to it, a feeling that feels good.",0
Beld090NIoo,2023-06-18T12:56:48Z,Jlozo Blues&Soul,titties,0
Beld090NIoo,2023-06-17T19:01:11Z,The Eternal Retro Future,This is awesome!!!,0
Beld090NIoo,2023-06-16T13:43:34Z,RabbitHoles,Itty bitty dub titties.,1
Beld090NIoo,2023-06-16T13:30:57Z,Carlos Felipe Spall,"que capricho, sensacional!",0
Beld090NIoo,2023-06-15T19:17:02Z,TEH,Thats a pretty nice rug you got there Lady 😆,0
Beld090NIoo,2023-06-15T13:56:56Z,María de las nieves,oh love this arabic sound...,0
Beld090NIoo,2023-06-15T04:44:13Z,DJ SIRIN,"<a href=""about:invalid#zCSafez""></a>",0
Beld090NIoo,2023-06-15T00:01:36Z,420ajaaxx,wow,0
Beld090NIoo,2023-06-13T17:37:05Z,rejeanu,Amazing 👹🔥,0
Beld090NIoo,2023-06-12T21:59:01Z,Maarten Dylst,amazing set<br>what is this mixer???,0
Beld090NIoo,2023-06-12T18:29:01Z,uriel zamora,happy plants indeed!<br>:),0
Beld090NIoo,2023-06-11T17:26:55Z,G ee,"já perdi a conta de quantas vezes escutei esse set, é incrivel, mixagens lindas escolhas perfeitas &lt;3",4
Beld090NIoo,2023-06-10T01:35:06Z,Alonso Herrera,Amazing set 💐,0
Beld090NIoo,2023-06-09T10:07:54Z,魁ちゃん,資金不足ではない。テスラに出資していたのモルガン家ですから。<br><br>ただ彼らは銅の販売を独占していたので、銅線を使わない通信、送電装置は不都合だったから資金を抜かれた様です。,0
Beld090NIoo,2023-06-08T19:38:29Z,Emilia Velazquez,girllll ya got me in a trance of feeling myself in a dimension of peace,0
Beld090NIoo,2023-06-07T14:26:17Z,Gustavo Sgai,damn girl,0
Beld090NIoo,2023-06-07T13:20:11Z,Scott,"Superb, made my Wednesday afternoon very funky and cool. Thank you so much for what you do so well.😎🧘 (Psst, lose the socks, bare feet for the win 😎)",0
Beld090NIoo,2023-06-05T18:06:41Z,Jim Komondy,Best mix I&#39;ve heard in a long while.  🙏,0
Beld090NIoo,2023-06-05T09:46:35Z,Valeria Ferrao,Que maravilha de sons❤ gratidão pela partilha!,0
Beld090NIoo,2023-06-04T23:18:07Z,Mel Wish HONK,"Beautiful..as a clarinet player, what a joy to have a mix start with one!",0
Beld090NIoo,2023-06-04T13:44:19Z,Philipp,"Does anyone know what song is playing in the Intro at the beginning of the video?<br>I could only find &quot;Bad Price&quot; by Hank Pimentel -- <a href=""https://youtu.be/WpW6Ye-9h7s"">https://youtu.be/WpW6Ye-9h7s</a><br>But it seems he also sampled it and I couldn&#39;t find the original on whosampled...",0
Beld090NIoo,2023-06-03T20:46:09Z,Smart Phone,Beautiful... Thanks!,0
Beld090NIoo,2023-06-03T18:33:40Z,damian Kenigstein,que viajeeeeee,0
Beld090NIoo,2023-06-03T12:07:20Z,Yaren Aysan,How awesome interior is this!!!!! Gorgeous!!!,0
Beld090NIoo,2023-06-03T04:17:53Z,Hunter Daigle,I love yalls videos so much UGHHHHH THANK YOU SO MUCH XO -Canada BC,0
Beld090NIoo,2023-06-02T14:22:10Z,Aviva Sings Out,Thanks for spinnin the vibes,0
Beld090NIoo,2023-06-01T21:05:24Z,Christopher Michael Aladrian Dixon,Nice 🎉,0
Beld090NIoo,2023-06-01T14:32:59Z,gofyourselfgoogle,this mix gave me a contact high,0
Beld090NIoo,2023-06-01T08:09:50Z,Alice Chance,"<a href=""https://www.youtube.com/watch?v=Beld090NIoo&amp;t=5m58s"">5:58</a> iykyk",0
Beld090NIoo,2023-05-31T20:20:00Z,Comando Burrito,"<a href=""https://www.youtube.com/watch?v=Beld090NIoo&amp;t=14m53s"">14:53</a> such a banger",0
Beld090NIoo,2023-05-31T12:01:50Z,Sheyda Allahverdiyeva,Loved this one!,0
Beld090NIoo,2023-05-30T23:48:21Z,timechanges,can we get her back playing????,2
Beld090NIoo,2023-05-28T17:02:12Z,Davide Sollai,heyyyyy this madness super cool,0
Beld090NIoo,2023-05-28T15:38:24Z,E. Franklin Tulloch,thx nice sesh.,0
Beld090NIoo,2023-05-28T13:12:09Z,Yezza Lahreche,Bon après avoir écouté un tas de vos invités je ne peux que revenir sur Millie…. Ce finish en beauté me donne envie d un autre svp invitez la encore❤❤❤🎉,0
Beld090NIoo,2023-05-28T10:51:11Z,Yezza Lahreche,Merci ça déchire pour une bonne inspiration dernière ligne droite avant mon expo,0
Beld090NIoo,2023-05-27T09:15:31Z,Jessuniverse,Does she have a y outube channel?,0
Beld090NIoo,2023-05-27T07:24:40Z,LP Hastings,This is sooo fire. Chefs kiss! I love this channel. Thank you!,0
Beld090NIoo,2023-05-27T03:06:29Z,Cletus Johnston,"She&#39;s got some Old School in her library,<br>Reminds me of growing up and throughout school.<br>One of my family friends was a good DJ,<br>Eddie was Cool AF!<br><br>We love music 🎶...<br><br>Thanks for the memories!<br><br>🎶🙏🎶",2
Beld090NIoo,2023-05-25T23:20:21Z,Christopher C,Nice plants! Jungle room,0
Beld090NIoo,2023-05-25T09:22:02Z,Janruary 28,set makes me think about stealing some priceless art with the homies,0
Beld090NIoo,2023-05-25T09:06:34Z,Samantha Smith,Love this! It&#39;s super groovy,0
Beld090NIoo,2023-05-24T20:35:16Z,Agustin Laguens,What equipment are you using?,0
Beld090NIoo,2023-05-24T12:29:10Z,Rune Dragon,"ok cool mix but what? of other people&#39;s mixes or music in her arrangement makes a successful popular DJ these days? Still? Well alright then get it girl try mixing some of those cool beats yourself then mix it in! The last 9min some sexy jazzy grooves Millie, sweet!",0
Beld090NIoo,2023-05-24T10:03:18Z,Melissa Langley,Gold💜❤️💕⭐️love it when you open it up !,0
Beld090NIoo,2023-05-23T00:43:32Z,Yologogo,More dub from MAJ pliz,0
Beld090NIoo,2023-05-22T20:38:05Z,pamela colores,been listening this set on repeat since 3 months ago. idk ho i bumped into my analog journal but it came to stay in my life. adore it. thank youuuuu,1
Beld090NIoo,2023-05-22T20:27:36Z,Halle Luya,Big LIKE ❤❤❤❤,0
Beld090NIoo,2023-05-22T14:05:02Z,Lucas Moraes,shes hot,1
Beld090NIoo,2023-05-22T10:05:49Z,Deena,She&#39;s playing records. Wow  FFS.,0
Beld090NIoo,2023-05-22T03:09:43Z,VICENTE FUENZALIDA,you tube is the best!!! love to listening new music,0
Beld090NIoo,2023-05-21T20:50:40Z,Polanito,"I wish my music studio had that much plants, and light.",0
Beld090NIoo,2023-05-21T17:23:35Z,Sunny S,A wonderful mix! Thanks My Analog Journal for releasing these excellent DJ sets.,0
Beld090NIoo,2023-05-21T11:39:08Z,Csende Bori,magical,0
Beld090NIoo,2023-05-21T09:58:50Z,Ver@niki,Great grooves for road trips :),0
Beld090NIoo,2023-05-21T00:32:30Z,John Doe,Worst country music ever.,1
Beld090NIoo,2023-05-20T08:48:52Z,RanzFunzel Miller,yeahh,0
Beld090NIoo,2023-05-18T18:02:23Z,Olivia Thomas,Millie I instantly love you for this set! 😍 Hell yes girl.,0
Beld090NIoo,2023-05-18T15:01:26Z,Jay Bodhi,Love this! So amazing! Thank you,0
Beld090NIoo,2023-05-18T13:48:40Z,Kyle Jennings,this is definitely the favorite MAJ mix. Every song - Banger after Banger. Im about to buy plants and a mf disco ball,2
Beld090NIoo,2023-05-18T10:57:33Z,kim,素晴らしいセンスだと思う！,0
Beld090NIoo,2023-05-17T11:33:34Z,Billy Mack,IKEA dub. Ramping up da cool. 🎶,0
Beld090NIoo,2023-05-17T10:13:20Z,vplusah,greeeeeeat!,0
Beld090NIoo,2023-05-15T17:00:31Z,BR1NA,This is phenomenal. Been way too long since I listened to the channel and this was an incredible set that has me absolutely hooked once again! Thank you x,4
Beld090NIoo,2023-05-15T11:57:53Z,Meilan Maulana,Thanks for the trip Millie!,1
Beld090NIoo,2023-05-15T05:30:04Z,Мужик с ютуба,Все смотрели на её сиськи?,0
Beld090NIoo,2023-05-14T08:00:11Z,The Glow Cloud,I bet she could tell me some really cool things about essential oils,1
Beld090NIoo,2023-05-13T16:03:45Z,Spirit-Sounds -ASMR,Boooommm...,0
Beld090NIoo,2023-05-13T15:43:36Z,Spirit-Sounds -ASMR,"<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",0
Beld090NIoo,2023-05-13T15:36:49Z,Spirit-Sounds -ASMR,💞,0
Beld090NIoo,2023-05-13T15:36:14Z,Spirit-Sounds -ASMR,Du bist ..;-)))...ich darf es nicht ausprechen ...,0
Beld090NIoo,2023-05-13T15:23:18Z,Spirit-Sounds -ASMR,💖💖💖,0
Beld090NIoo,2023-05-13T15:21:02Z,Spirit-Sounds -ASMR,"<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",0
Beld090NIoo,2023-05-13T15:18:27Z,Martin Langan,Brilliant thanks I finally got to sleep wicked Cheers,0
